-9 -21.5
-0.01754635628410537+0j -0.00024407433051089404+0j
-0.01418731015047483+0j -0.0004670055843211416+0j
-0.010227172765213052+0j -0.00013472920297400177+0j
-0.0064650571657861875+0j -3.06910026611222e-06+0j
-0.002628936541307859+0j 0.00012859100244177663+0j
-0.002628950844375354+0j -0.00011352923245849287+0j
-0.006465092676850317+0j 2.6414464014270985e-06+0j
-0.010227229484273785+0j 0.00011881212526134859+0j
-0.014229065286184152+0j 0.0005398142384312128+0j
-0.017591287942494094+0j 0.000287592746894067+0j
-0.02081356835188666+0j 3.537125535692122e-05+0j
-0.023895906514361822+0j -0.00021685023618022377+0j
-0.026838302429919622+0j -0.00046907172771736954+0j
-0.029567392970521425+0j -0.0007064251745887141+0j
-0.031657916396766954+0j -0.00033232792410447414+0j
-0.033510126019000296+0j 4.176932637976589e-05+0j
-0.03512402183722149+0j 0.0004158665768640042+0j
-0.036499603851430515+0j 0.000789963827348244+0j
-0.03731977056520311+0j 0.0007127008984779313+0j
-0.03758339326313475+0j 0.00023756696615927868+0j
-0.03758339326313476+0j -0.00023756696615937303+0j
-0.03731977056520312+0j -0.0007127008984780244+0j
-0.036499603851430446+0j -0.0007899638273482284+0j
-0.03512402183722142+0j -0.0004158665768639762+0j
-0.03351012601900024+0j -4.176932637972882e-05+0j
-0.0316579163967669+0j 0.00033232792410452624+0j
-0.029567392970521383+0j 0.0007064251745887765+0j
-0.026838302429919584+0j 0.00046907172771744576+0j
-0.023895906514361777+0j 0.00021685023618030463+0j
-0.020813568351886615+0j -3.5371255356835094e-05+0j
-0.017591287942494066+0j -0.0002875927468939748+0j
-0.014229065286184122+0j -0.0005398142384311162+0j
-0.010227229484273759+0j -0.00011881212526129245+0j
-0.006465092676850282+0j -2.6414464013887516e-06+0j
-0.0026289508443753415+0j 0.00011352923245851431+0j
-0.0026289651474428358+0j -9.84497069431889e-05+0j
-0.006465128187914409+0j 2.2315480687463987e-06+0j
-0.01022728620333449+0j 0.00010291280308068146+0j
-0.013915439193703081+0j 0.00020359405809261663+0j
-0.01763621960088279+0j 0.00033377057761340594+0j
-0.02086167653295476+0j 5.2258848349366e-05+0j
-0.023947191218109336+0j -0.00022925288091467329+0j
-0.02689276365634654+0j -0.0005107646101787134+0j
-0.029498739674389648+0j -0.0006087435947957033+0j
-0.031587979879010186+0j -0.00028452597770935997+0j
